tweet_text,geo_latitude,geo_longitude,hotspot_id
"💘😎🎉 @ mar del plata, argentina https://t.co/5pjxhdfwn5",-38.0,-57.55,1
"con el tiempo uno aprende a querer mas. pero a menos gente🉐 @ mar del plata, argentina https://t.co/ql0af56njp",-38.0,-57.55,1
"24🎂 @ mar del plata, argentina https://t.co/shuosr12m6",-38.0,-57.55,1
"“a veces no lo digo, pero siempre lo siento.” 😊 @ mar del plata,… https://t.co/l7fp0xftbf",-38.0,-57.55,1
"reales 🤞🏼✨ @ mar del plata, argentina https://t.co/snnklnoghf",-38.00809969,-57.53999423,1
"😝😝 @ mar del plata, argentina https://t.co/8kkbcrc5xu",-38.00809969,-57.53999423,1
"i'm at antares in mar del plata, buenos aires https://t.co/sfxxnlgoau https://t.co/n1vfktthkw",-38.01388569,-57.54153017,1
"🚵 (@ mirador constitución &amp; camet in mar del plata, buenos aires, buenos aires) https://t.co/agchrdf231 https://t.co/dq9vdqzbu1",-37.97153036,-57.54295654,1
"🌊❤️ @ mar del plata, argentina https://t.co/yyy1ykes6d",-38.00809969,-57.53999423,1
sea lions. @ puerto de mar del plata https://t.co/3deaej8huj,-38.04615991,-57.54309768,1
"🏙❣️ @ mar del plata, argentina https://t.co/itig6sxkta",-38.0,-57.55,1
"disfrutando 🌊 en mar del plata, argentina https://t.co/omi2pn3wi2",-38.00809969,-57.53999423,1
#atardecer #mardel #costa #bici #amiga #loveyou van_amico @ mar del… https://t.co/0qidnw4qg2,-38.00809969,-57.53999423,1
"#saturday @ mar del plata, argentina https://t.co/66ir9yzele",-38.00809969,-57.53999423,1
"cómo extraño ese gorra 🙈 en mar del plata, argentina https://t.co/5f3oh8msr6",-38.00809969,-57.53999423,1
"abre tus ojos 🎶 en mar del plata, argentina https://t.co/tlbbybxaic",-38.00809969,-57.53999423,1
"acaba de publicar una foto en mar del plata, argentina https://t.co/5upyczckv3",-38.00809969,-57.53999423,1
"acaba de publicar una foto en mar del plata, argentina https://t.co/wv6xsj56iz",-38.0,-57.55,1
"tengo sueño. 💤 en mar del plata, argentina https://t.co/owrjywhuli",-38.0,-57.55,1
"acaba de publicar una foto en mar del plata, argentina https://t.co/d9rfpce4i6",-38.00809969,-57.53999423,1
"acaba de publicar una foto en mar del plata, argentina https://t.co/wntkm5muvk",-38.00809969,-57.53999423,1
"con la bióloga más copada de todas #ayudabelen 😂😅😆😁 en mar del plata, argentina https://t.co/rcqvhaxefh",-38.0,-57.55,1
"tarde de tíos 😍💕 en mar del plata, argentina https://t.co/4wgjvtpbkm",-38.0,-57.55,1
"acaba de publicar una foto en mar del plata, argentina https://t.co/d1yccqfuon",-38.0,-57.55,1
"acaba de publicar una foto en mar del plata, argentina https://t.co/tt1pfybj0c",-38.00809969,-57.53999423,1
"magia de viernes !!!!! 🍺✔🎩 en mar del plata, argentina https://t.co/trq6mpvbcd",-38.0,-57.55,1
